onset	duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	stim_color	stim_word	trial_type	worker_id
3.525	1.5	incongruent	1.0	82.0	stroop	82	1.18	green	red	incongruent	s638_2
5.53	1.5	congruent	1.0	82.0	stroop	82	0.635	green	green	congruent	s638_2
8.077	1.5	congruent	1.0	71.0	stroop	71	0.488	blue	blue	congruent	s638_2
10.218	1.5	congruent	1.0	82.0	stroop	82	0.544	green	green	congruent	s638_2
12.223	1.5	congruent	1.0	71.0	stroop	71	0.51	blue	blue	congruent	s638_2
14.229	1.5	congruent	1.0	82.0	stroop	82	0.534	green	green	congruent	s638_2
16.506	1.5	incongruent	0.0	82.0	stroop	89	0.531	green	red	incongruent	s638_2
18.511	1.5	congruent	1.0	89.0	stroop	89	0.637	red	red	congruent	s638_2
20.514	1.5	incongruent	1.0	71.0	stroop	71	0.828	blue	red	incongruent	s638_2
22.655	1.5	incongruent	1.0	89.0	stroop	89	1.118	red	blue	incongruent	s638_2
24.66	1.5	incongruent	1.0	71.0	stroop	71	0.829	blue	red	incongruent	s638_2
26.935	1.5	congruent	1.0	89.0	stroop	89	0.677	red	red	congruent	s638_2
29.074	1.5	incongruent	1.0	82.0	stroop	82	0.671	green	red	incongruent	s638_2
31.487	1.5	congruent	1.0	82.0	stroop	82	0.51	green	green	congruent	s638_2
33.492	1.5	congruent	1.0	71.0	stroop	71	0.502	blue	blue	congruent	s638_2
35.498	1.5	incongruent	1.0	89.0	stroop	89	0.709	red	green	incongruent	s638_2
38.319	1.5	incongruent	1.0	89.0	stroop	89	0.833	red	blue	incongruent	s638_2
40.323	1.5	incongruent	1.0	82.0	stroop	82	0.933	green	red	incongruent	s638_2
42.327	1.5	congruent	1.0	82.0	stroop	82	0.497	green	green	congruent	s638_2
44.468	1.5	congruent	1.0	82.0	stroop	82	0.493	green	green	congruent	s638_2
46.473	1.5	incongruent	1.0	71.0	stroop	71	0.693	blue	green	incongruent	s638_2
48.479	1.5	congruent	1.0	82.0	stroop	82	0.573	green	green	congruent	s638_2
50.484	1.5	incongruent	1.0	89.0	stroop	89	0.653	red	green	incongruent	s638_2
52.489	1.5	congruent	1.0	82.0	stroop	82	0.559	green	green	congruent	s638_2
54.494	1.5	incongruent	1.0	82.0	stroop	82	1.014	green	blue	incongruent	s638_2
56.499	1.5	congruent	1.0	82.0	stroop	82	0.503	green	green	congruent	s638_2
58.505	1.5	incongruent	1.0	71.0	stroop	71	0.746	blue	red	incongruent	s638_2
60.782	1.5	incongruent	1.0	71.0	stroop	71	0.595	blue	green	incongruent	s638_2
62.787	1.5	congruent	1.0	82.0	stroop	82	0.513	green	green	congruent	s638_2
64.926	1.5	congruent	1.0	89.0	stroop	89	0.523	red	red	congruent	s638_2
66.929	1.5	congruent	1.0	71.0	stroop	71	0.555	blue	blue	congruent	s638_2
69.07	1.5	congruent	1.0	82.0	stroop	82	0.449	green	green	congruent	s638_2
71.076	1.5	congruent	1.0	82.0	stroop	82	0.583	green	green	congruent	s638_2
73.081	1.5	incongruent	1.0	71.0	stroop	71	0.754	blue	red	incongruent	s638_2
75.088	1.5	incongruent	1.0	82.0	stroop	82	0.457	green	blue	incongruent	s638_2
77.364	1.5	incongruent	1.0	89.0	stroop	89	0.551	red	blue	incongruent	s638_2
79.366	1.5	incongruent	1.0	82.0	stroop	82	0.569	green	blue	incongruent	s638_2
81.504	1.5	congruent	1.0	89.0	stroop	89	0.592	red	red	congruent	s638_2
83.918	1.5	incongruent	1.0	71.0	stroop	71	0.826	blue	red	incongruent	s638_2
86.193	1.5	congruent	1.0	89.0	stroop	89	0.497	red	red	congruent	s638_2
88.878	1.5	congruent	1.0	82.0	stroop	82	0.463	green	green	congruent	s638_2
90.881	1.5	congruent	1.0	71.0	stroop	71	0.537	blue	blue	congruent	s638_2
93.296	1.5	congruent	1.0	89.0	stroop	89	0.502	red	red	congruent	s638_2
95.435	1.5	incongruent	1.0	71.0	stroop	71	0.764	blue	red	incongruent	s638_2
98.12	1.5	incongruent	1.0	71.0	stroop	71	0.614	blue	red	incongruent	s638_2
100.123	1.5	incongruent	1.0	71.0	stroop	71	0.526	blue	red	incongruent	s638_2
102.261	1.5	congruent	1.0	71.0	stroop	71	0.466	blue	blue	congruent	s638_2
105.219	1.5	incongruent	1.0	82.0	stroop	82	0.859	green	red	incongruent	s638_2
107.223	1.5	incongruent	1.0	71.0	stroop	71	0.822	blue	green	incongruent	s638_2
109.501	1.5	incongruent	1.0	89.0	stroop	89	0.76	red	blue	incongruent	s638_2
111.507	1.5	congruent	1.0	89.0	stroop	89	0.637	red	red	congruent	s638_2
113.512	1.5	congruent	1.0	89.0	stroop	89	0.453	red	red	congruent	s638_2
115.518	1.5	incongruent	1.0	71.0	stroop	71	0.769	blue	green	incongruent	s638_2
117.52	1.5	congruent	1.0	89.0	stroop	89	0.631	red	red	congruent	s638_2
119.661	1.5	congruent	1.0	71.0	stroop	71	0.58	blue	blue	congruent	s638_2
121.667	1.5	incongruent	1.0	82.0	stroop	82	0.79	green	blue	incongruent	s638_2
123.67	1.5	congruent	1.0	89.0	stroop	89	0.56	red	red	congruent	s638_2
125.811	1.5	incongruent	1.0	89.0	stroop	89	0.684	red	blue	incongruent	s638_2
127.816	1.5	incongruent	1.0	82.0	stroop	82	0.671	green	red	incongruent	s638_2
129.818	1.5	incongruent	1.0	89.0	stroop	89	0.643	red	blue	incongruent	s638_2
131.96	1.5	congruent	1.0	89.0	stroop	89	0.402	red	red	congruent	s638_2
134.101	1.5	congruent	1.0	82.0	stroop	82	0.521	green	green	congruent	s638_2
136.379	1.5	incongruent	1.0	82.0	stroop	82	0.845	green	blue	incongruent	s638_2
139.063	1.5	congruent	1.0	82.0	stroop	82	0.536	green	green	congruent	s638_2
141.069	1.5	congruent	1.0	71.0	stroop	71	0.608	blue	blue	congruent	s638_2
143.075	1.5	incongruent	1.0	89.0	stroop	89	0.63	red	green	incongruent	s638_2
145.352	1.5	incongruent	1.0	71.0	stroop	71	0.674	blue	green	incongruent	s638_2
147.357	1.5	congruent	1.0	71.0	stroop	71	0.547	blue	blue	congruent	s638_2
149.362	1.5	incongruent	0.0	82.0	stroop	89	0.628	green	red	incongruent	s638_2
151.368	1.5	incongruent	1.0	71.0	stroop	71	1.008	blue	green	incongruent	s638_2
153.373	1.5	incongruent	1.0	89.0	stroop	89	1.085	red	blue	incongruent	s638_2
155.379	1.5	incongruent	1.0	89.0	stroop	89	0.987	red	green	incongruent	s638_2
157.384	1.5	congruent	1.0	89.0	stroop	89	0.473	red	red	congruent	s638_2
159.661	1.5	incongruent	1.0	89.0	stroop	89	0.432	red	green	incongruent	s638_2
161.664	1.5	congruent	1.0	82.0	stroop	82	0.723	green	green	congruent	s638_2
164.079	1.5	congruent	1.0	89.0	stroop	89	0.535	red	red	congruent	s638_2
166.084	1.5	congruent	1.0	71.0	stroop	71	0.697	blue	blue	congruent	s638_2
168.226	1.5	congruent	0.0	71.0	stroop	89	0.575	blue	blue	congruent	s638_2
170.231	1.5	congruent	1.0	71.0	stroop	71	0.521	blue	blue	congruent	s638_2
172.236	1.5	incongruent	1.0	89.0	stroop	89	0.698	red	green	incongruent	s638_2
174.242	1.5	congruent	1.0	89.0	stroop	89	0.707	red	red	congruent	s638_2
176.52	1.5	incongruent	1.0	71.0	stroop	71	0.902	blue	green	incongruent	s638_2
178.525	1.5	incongruent	1.0	71.0	stroop	71	0.523	blue	green	incongruent	s638_2
180.802	1.5	incongruent	1.0	89.0	stroop	89	0.504	red	green	incongruent	s638_2
183.079	1.5	incongruent	1.0	82.0	stroop	82	0.762	green	blue	incongruent	s638_2
185.082	1.5	congruent	1.0	71.0	stroop	71	0.546	blue	blue	congruent	s638_2
187.767	1.5	incongruent	1.0	89.0	stroop	89	0.644	red	green	incongruent	s638_2
189.773	1.5	congruent	1.0	71.0	stroop	71	0.816	blue	blue	congruent	s638_2
192.05	1.5	congruent	1.0	71.0	stroop	71	0.802	blue	blue	congruent	s638_2
194.055	1.5	congruent	1.0	89.0	stroop	89	0.595	red	red	congruent	s638_2
196.06	1.5	incongruent	1.0	82.0	stroop	82	0.862	green	blue	incongruent	s638_2
198.335	1.5	congruent	1.0	71.0	stroop	71	0.692	blue	blue	congruent	s638_2
200.476	1.5	congruent	1.0	89.0	stroop	89	0.578	red	red	congruent	s638_2
203.023	1.5	incongruent	1.0	89.0	stroop	89	0.808	red	blue	incongruent	s638_2
205.436	1.5	incongruent	1.0	82.0	stroop	82	0.828	green	blue	incongruent	s638_2
207.441	1.5	incongruent	1.0	82.0	stroop	82	0.687	green	red	incongruent	s638_2
